date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:09	3170/3170	---M-Z	200	added ('OK')	application/javascript	etag:%22c62-5faff1d75a63e-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-scatter.init.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-scatter.init.js	(from https://themesdesign.in/tocly/layouts/charts-scatter.html)
21:49:09	4483/4483	---M-Z	200	added ('OK')	application/javascript	etag:%221183-5faff1d75a63e-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-heatmap.init.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-heatmap.init.js	(from https://themesdesign.in/tocly/layouts/charts-heatmap.html)
21:49:10	2362/2362	---M-Z	200	added ('OK')	application/javascript	etag:%2293a-5faff1d75a63e-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-treemap.init.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-treemap.init.js	(from https://themesdesign.in/tocly/layouts/charts-treemap.html)
21:49:10	3977/3977	---M-Z	200	added ('OK')	application/javascript	etag:%22f89-5faff1d75a63e-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-pie.init.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-pie.init.js	(from https://themesdesign.in/tocly/layouts/charts-pie.html)
21:49:10	3225/3225	---M-Z	200	added ('OK')	application/javascript	etag:%22c99-5faff1d75a63e-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-radialbar.init.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-radialbar.init.js	(from https://themesdesign.in/tocly/layouts/charts-radialbar.html)
21:49:10	1392/1392	---M-Z	200	added ('OK')	application/javascript	etag:%22570-5faff1d75a63e-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-radar.init.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-radar.init.js	(from https://themesdesign.in/tocly/layouts/charts-radar.html)
21:49:11	940/940	---M-Z	200	added ('OK')	application/javascript	etag:%223ac-5faff1d75a63e-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-polararea.init.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/js/pages/apexcharts-polararea.init.js	(from https://themesdesign.in/tocly/layouts/charts-polararea.html)
21:49:11	8341/8341	---M-Z	200	added ('OK')	application/javascript	etag:%222095-5faff1d75a63e-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/echarts.init.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/js/pages/echarts.init.js	(from https://themesdesign.in/tocly/layouts/charts-echart.html)
21:49:11	1022939/1022939	---MCZ	200	added ('OK')	application/javascript	etag:%22f9bdb-5faff1d76debf-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/echarts/echarts.min.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/libs/echarts/echarts.min.js	(from https://themesdesign.in/tocly/layouts/charts-echart.html)
21:49:12	56011/56011	---M-Z	200	added ('OK')	application/javascript	etag:%22dacb-5faff1d75b5de-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/remix-icons-list.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/js/pages/remix-icons-list.js	(from https://themesdesign.in/tocly/layouts/icons-remix.html)
21:49:12	314462/314462	---M-Z	200	added ('OK')	application/javascript	etag:%224cc5e-5faff1d75b5de-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/materialdesign.init.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/js/pages/materialdesign.init.js	(from https://themesdesign.in/tocly/layouts/icons-materialdesign.html)
